Exit Date,Entry Date,Cost,Realized P&L
2023-05-08,2023-05-04,5611.98,-2463.99
2023-05-16,2023-05-10,7095.32,3543.27
2023-05-18,2023-05-16,7223.32,2925.27
2023-05-19,2023-05-08,5086.98,-2598.99
2023-05-26,2023-05-18,6765.32,4299.26
2023-05-31,2023-05-08,5341.98,-4599.97
2023-06-02,2023-05-31,4330.98,1937.03
2023-06-05,2023-05-19,5128.30,3593.32
2023-06-07,2023-05-26,7585.32,1813.28
2023-06-08,2023-05-23,4051.98,-454.00
2023-06-12,2023-06-01,3343.98,2798.43
2023-06-12,2023-05-04,6363.96,-5689.04
2023-06-14,2023-05-23,3861.32,3927.66
2023-06-16,2023-05-04,5153.30,-5153.30
2023-06-30,2023-06-07,7821.32,1507.58
2023-07-05,2023-05-17,5366.60,388.23
2023-07-05,2023-06-14,5595.02,1603.90
2023-07-06,2023-06-30,5905.02,-3806.06
2023-07-10,2023-06-08,5431.98,842.43
2023-07-11,2023-06-05,4878.30,3729.07
2023-07-12,2023-06-12,3700.53,2993.88
2023-07-14,2023-06-12,4953.06,-660.17
2023-07-14,2023-06-14,4181.08,497.90
2023-07-17,2023-07-05,5261.02,1717.90
2023-07-18,2023-06-16,5536.53,-3843.08
2023-07-20,2023-05-23,4981.32,-3882.35
2023-07-25,2023-07-17,6754.53,3503.85
2023-07-26,2023-06-29,5122.04,3255.84
2023-07-28,2023-07-12,4852.53,3650.93
2023-07-31,2023-07-14,5641.53,-4425.08
2023-08-02,2023-07-05,6005.10,4449.68
2023-08-07,2023-07-25,6346.53,-2688.10
2023-08-09,2023-07-11,7302.55,-4305.14
2023-08-15,2023-07-10,5167.53,-3369.09
2023-08-15,2023-07-14,4953.06,-3552.15
2023-08-16,2023-07-26,4522.04,-692.12
2023-08-17,2023-07-20,5901.02,-2802.07
2023-08-17,2023-08-07,7502.56,3934.78
2023-08-17,2023-08-02,5755.11,3119.68
2023-08-21,2023-08-07,7891.53,-3801.10
2023-08-21,2023-08-17,5625.11,479.71
2023-08-28,2023-08-22,5341.53,658.88
2023-08-29,2023-08-16,5210.04,1747.85
2023-08-30,2023-08-15,4917.07,1619.80
2023-08-31,2023-08-08,6657.07,1811.78
2023-09-07,2023-07-31,8311.53,875.86
2023-09-14,2023-08-21,11116.53,3701.81
2023-09-15,2023-08-07,6452.56,1544.81
2023-09-21,2023-08-17,7942.56,-6570.14
2023-09-21,2023-08-22,6800.51,1523.91
2023-09-27,2023-09-06,6123.07,1913.78
2023-10-05,2023-09-27,6213.07,2093.78
2023-10-09,2023-08-28,7023.06,5429.76
2023-10-10,2023-08-31,6315.07,1061.79
2023-10-11,2023-08-29,5553.07,1637.79
2023-10-12,2023-08-30,5037.07,-4338.16
2023-10-16,2023-09-14,9511.53,764.85
2023-10-17,2023-09-21,7981.02,-5782.07
2023-10-20,2023-08-31,6452.56,-6452.56
2023-10-20,2023-09-07,7270.53,-7270.53
2023-10-24,2023-10-03,7841.02,3309.86
2023-10-26,2023-10-17,6991.02,5337.85
2023-10-26,2023-10-24,6413.02,12085.80
2023-10-31,2023-10-05,5853.07,-4326.16
2023-10-31,2023-10-09,6219.07,-3090.18
2023-11-03,2023-10-19,6210.14,4235.62
2023-11-08,2023-10-31,7364.09,-4686.22
2023-11-09,2023-09-21,9857.56,-8685.14
2023-11-14,2023-10-10,5763.07,-4920.16
2023-11-14,2023-10-16,9013.53,2963.82
2023-11-16,2023-10-04,7081.53,-1863.11
2023-11-16,2023-10-11,6015.06,-5133.16
2023-11-17,2023-10-26,7311.02,-7311.02
2023-11-28,2023-11-09,5875.11,4929.67
2023-11-30,2023-11-03,5346.15,3083.62
2023-12-01,2023-10-31,9219.07,2789.75
2023-12-04,2023-11-15,7002.05,4383.81
2023-12-06,2023-11-14,6455.53,2942.84
2023-12-06,2023-11-30,5910.14,4307.61
2023-12-13,2023-11-28,5255.11,-4470.25
2023-12-14,2023-12-04,7946.04,5011.80
2023-12-15,2023-10-31,6267.07,-6267.07
2023-12-15,2023-11-06,8107.56,-8107.56
2023-12-15,2023-11-09,7503.07,-7503.07
2023-12-21,2023-12-13,7345.11,4619.66
2024-01-04,2023-12-19,6564.09,5031.71
2024-01-16,2023-12-18,8121.02,-3056.09
2024-01-17,2023-12-06,5250.14,-3288.32
2024-01-17,2023-12-21,5675.11,-4250.26
2024-01-19,2023-12-01,6555.07,-6555.07
2024-01-19,2023-12-07,7927.53,-7927.53
2024-01-22,2024-01-05,6970.51,16168.79
2024-01-24,2024-01-08,6302.56,4494.78
2024-01-25,2024-01-16,8627.02,5357.84
2024-02-08,2024-01-22,8590.51,4908.87
2024-02-12,2024-01-24,6252.56,-1380.16
2024-02-13,2024-01-25,8677.02,-5922.07
2024-02-14,2024-01-17,4974.14,-2556.32
2024-02-14,2024-01-17,5635.11,-2870.27
2024-02-15,2024-02-07,6963.07,4337.75
2024-02-16,2024-01-04,4964.09,-168.24
2024-02-16,2024-02-13,9507.02,-4562.09
2024-02-20,2024-02-08,10000.51,-4889.06
2024-02-26,2024-02-20,10100.51,6830.84
2024-03-06,2024-02-26,8826.51,4322.87
2024-03-07,2024-02-15,6195.06,1169.80
2024-03-12,2024-02-15,7777.56,-5405.15
2024-03-12,2024-02-16,8721.90,414.88
2024-03-13,2024-02-06,7152.56,759.81
2024-03-14,2024-02-16,6484.09,174.75
2024-04-02,2024-03-07,6297.56,8449.75
2024-04-03,2024-03-18,8155.11,9619.61
2024-04-10,2024-03-14,7027.08,2512.73
2024-04-17,2024-03-04,8935.11,8669.61
2024-04-17,2024-02-21,6993.07,1973.77
2024-04-19,2024-03-07,6352.59,-6352.59
2024-04-19,2024-03-12,9434.02,-9434.02
2024-04-19,2024-03-13,6437.56,-6437.56
2024-04-19,2024-04-10,6028.09,4711.71
2024-04-23,2024-04-17,8965.11,-4570.29
2024-05-03,2024-03-25,8202.05,10819.73
2024-05-03,2024-04-25,6682.05,3735.80
2024-05-06,2024-04-19,6948.09,-4776.22
2024-05-08,2024-04-17,6993.07,3839.75
2024-05-15,2024-04-23,7605.11,3549.66
2024-05-17,2024-04-02,4802.56,-4802.56
2024-05-20,2024-05-07,6964.09,5751.44
2024-05-29,2024-05-20,5524.09,-4560.23
2024-05-30,2024-05-03,7026.05,-4648.17
2024-06-07,2024-04-22,9801.02,4397.55
2024-06-14,2024-05-15,8715.11,-6840.31
2024-06-18,2024-05-03,5129.07,-3926.20
2024-06-20,2024-05-08,5319.07,-1968.26
2024-06-21,2024-05-01,8537.56,-8537.56
2024-06-21,2024-05-06,6860.09,-6860.09
2024-06-21,2024-04-25,7206.14,-7206.14
2024-06-27,2024-05-30,9418.05,4231.51
2024-07-09,2024-06-03,8002.05,-6828.14
2024-07-12,2024-06-27,4662.05,6819.57
2024-07-15,2024-06-14,7705.11,7489.33
2024-07-17,2024-06-05,7026.14,408.71
2024-07-18,2024-05-29,5908.09,-1912.31
2024-07-18,2024-06-20,3807.07,149.74
2024-07-19,2024-06-07,9201.02,-9201.02
2024-07-19,2024-06-18,4521.06,-696.25
2024-07-25,2024-07-15,8605.11,-4610.24
2024-07-25,2024-07-12,9482.05,1659.58
2024-07-31,2024-07-25,10155.13,4189.34
2024-08-01,2024-07-18,5241.07,2315.64
2024-08-05,2024-07-17,6585.15,4820.36
2024-08-05,2024-07-17,6647.56,-5640.16
2024-08-12,2024-07-18,4868.09,2247.59
2024-08-13,2024-07-19,5871.07,-3654.22
2024-08-14,2024-07-09,7798.05,-1766.27
2024-08-20,2024-07-31,9615.11,6379.30
2024-08-21,2024-08-05,9502.56,3539.51
2024-08-23,2024-07-25,7042.05,-4952.16
2024-08-26,2024-08-21,8417.56,2584.56
2024-08-28,2024-08-14,8582.05,-1380.31
2024-09-05,2024-08-26,7357.56,-3250.13
2024-09-06,2024-08-05,7506.14,1739.43
2024-09-06,2024-08-28,7926.05,3491.90
2024-09-09,2024-08-20,9805.11,-2680.45
2024-09-11,2024-08-12,6332.09,1303.58
2024-09-17,2024-09-09,10735.11,4599.77
2024-09-20,2024-08-01,5523.07,-5523.07
2024-09-24,2024-09-11,5044.09,8047.43
2024-09-25,2024-09-17,9375.13,7669.27
2024-09-27,2024-09-24,7260.09,8839.35
2024-10-04,2024-09-27,9948.09,3647.42
2024-10-09,2024-09-25,8355.11,-5360.24
2024-10-14,2024-09-05,7572.57,3809.55
2024-10-17,2024-08-22,6427.56,-5330.16
2024-10-17,2024-08-23,8890.05,-6072.18
2024-10-18,2024-09-06,7398.14,-7398.14
2024-10-18,2024-09-06,5218.05,-5218.05
2024-10-21,2024-10-09,9405.13,7939.26
2024-11-07,2024-10-14,7887.56,6219.46
2024-11-14,2024-10-10,5662.10,-4708.34
2024-11-15,2024-10-16,8341.53,-8341.53
2024-11-15,2024-10-21,8855.11,-8855.11
2024-11-18,2024-11-07,8167.58,-3700.29
2024-11-25,2024-11-18,7322.58,6089.46
2024-12-03,2024-11-19,6950.52,-4864.09
2024-12-10,2024-11-21,6522.06,2275.63
2024-12-18,2024-11-07,6728.24,-2432.59
2024-12-18,2024-11-25,9202.58,-5470.15
2024-12-19,2024-10-17,8750.23,139.23
2024-12-20,2024-10-23,6963.07,-6963.07
2024-12-20,2024-12-18,8897.57,-2985.31
2025-01-06,2024-12-03,5037.51,2396.76
2025-01-13,2024-12-18,7352.19,3551.15
2025-01-14,2024-11-13,7882.06,-613.35
2025-01-17,2024-11-19,6282.06,-6282.06
2025-01-17,2025-01-13,6856.32,3135.34
2025-01-24,2024-12-20,9517.56,674.54
2025-01-28,2024-12-17,7329.07,2027.53
2025-01-31,2025-01-10,5652.60,4354.53
2025-01-31,2025-01-14,5716.56,-2370.21
2025-02-07,2025-01-31,6805.55,6572.52
2025-02-11,2025-02-04,5884.06,4393.58
2025-02-12,2025-01-31,7027.58,3199.55
2025-02-18,2025-01-24,7607.60,-1990.35
2025-02-19,2025-02-11,7342.06,4152.88
2025-02-20,2025-02-19,8103.07,3694.54
2025-02-21,2024-12-19,8710.23,-7820.61
2025-02-21,2025-01-06,6435.52,-6435.52
2025-02-21,2025-02-12,5800.52,4011.69
2025-02-28,2025-02-18,8482.06,-4716.24
2025-03-03,2025-01-17,7928.34,-4096.61
2025-03-04,2025-02-21,7392.52,3246.67
2025-03-10,2025-03-04,6950.52,7048.57
2025-03-10,2025-02-28,7510.06,-3712.24
2025-03-11,2025-03-04,8961.03,5029.55
2025-03-13,2025-02-12,7832.58,2389.55
2025-03-13,2025-03-11,8653.03,225.69
2025-03-24,2025-02-07,5956.55,-5208.12
2025-03-25,2025-03-13,8882.06,4079.88
2025-03-27,2025-03-13,8877.58,2534.51
2025-04-01,2025-03-25,8354.07,-4096.26
2025-04-03,2025-03-10,7722.06,-4124.24
2025-04-03,2025-03-27,7067.58,2279.56
2025-04-04,2025-03-10,6920.52,4478.64
2025-04-07,2025-03-20,7654.03,1884.67
2025-04-08,2025-04-03,5452.58,-2945.25
2025-04-10,2025-04-08,7062.58,7009.43
2025-04-14,2025-04-04,6390.52,2438.72
2025-04-17,2025-02-20,8422.06,-8422.06
2025-04-17,2025-04-10,7827.58,5079.47
2025-04-22,2025-04-17,6737.58,4924.50
2025-04-24,2025-04-22,9592.58,-3650.34
2025-04-25,2025-04-15,8341.55,-6981.15
2025-05-02,2025-04-07,6401.03,2527.68
2025-05-07,2025-04-01,7882.07,1515.59
2025-05-08,2025-04-25,7777.55,-4089.21
2025-05-13,2025-05-08,8327.58,4959.46
2025-05-15,2025-04-24,9047.58,-4725.18
2025-05-15,2025-05-02,4451.03,4047.93
2025-05-16,2025-03-03,9528.27,-9528.27
2025-05-16,2025-04-14,8141.04,-8141.04
2025-05-21,2025-05-15,9672.58,3724.82
2025-06-02,2025-05-21,9002.58,2019.82
2025-06-04,2025-05-16,6410.52,3948.96
2025-06-16,2025-05-13,7177.58,5669.82
2025-06-17,2025-05-13,5530.52,3583.96
2025-06-17,2025-05-15,7111.55,4757.89
2025-06-20,2025-05-09,8881.55,-8881.55
2025-06-25,2025-06-16,8777.58,3319.82
2025-06-27,2025-06-04,6960.52,3343.00
2025-07-08,2025-06-17,6802.55,995.90
2025-07-09,2025-06-25,8777.58,3669.83
2025-07-15,2025-06-17,5865.52,-2206.04
2025-07-17,2025-06-02,9877.58,-3880.17
2025-07-22,2025-07-17,10452.58,3929.83
2025-07-23,2025-07-15,9081.03,-2872.07
2025-07-23,2025-06-24,8326.07,3707.86
2025-07-28,2025-07-09,8252.58,4564.83
2025-08-04,2025-07-15,8971.55,8330.89
2025-08-04,2025-07-23,7872.06,-2794.13
2025-08-11,2025-06-20,9501.03,-7102.07
2025-08-12,2025-06-27,7195.52,4033.45
2025-08-15,2025-07-08,7291.55,-7291.55
2025-08-20,2025-07-28,8222.58,-2270.17
